kind,id,name,category,tooltipTypeName,action,description,galoisPath,boxSize,craftingStationType,buildingRequirements,hardnessClass,destroyerClass,dps,lifetimeDurabilityMs,breakVerb,shape,itemSellPrice,craftWith,craftingDurationMs,input,output,unlock,paletteColor
crafting_station,65464304897922,Angler's Table,Crafting Station,Crafting Station,place,,,2x2x3,general,none,0,,,,,,,,,,,,
crafting_station,4537020877769721,Arcade Machine,Crafting Station,,place,,placeables/arcade_machine,1x2x1,general,,0,,,,,,,,,,,,
crafting_station,3814157132212639,Composter,Crafting Station,Crafting Station,place,,,1x2x3,composting,,0,,,,,,,,,,,,
crafting_station,8287780998923911,Dye-O-Matic,Crafting Station,Crafting Station,place,,,3x3x3,dying,,0,,,,,,,,,,,,
crafting_station,1534621126189502,Handcraft,Crafting Station,,place,,,,,,0,,,,,,,,,,,,
crafting_station,1485695172010242,Kitchen,Crafting Station,Crafting Station,place,,placeables/crafting_stations/oak_kitchen,1x1x4,cooking,roof,0,,,,,,,,,,,,
crafting_station,1403692516415707,Seed Mill,Crafting Station,Crafting Station,place,,,1x3x1,general,noRoof,0,,,,,,,,,,,,
crafting_station,7539420629350105,Tailoring Booth,Crafting Station,Crafting Station,place,,placeables/crafting_stations/oak_tailoring_booth,4x1x3,general,,0,,,,,,,,,,,,
crafting_station,4537020877769775,Thermoblaster,Crafting Station,Crafting Station,place,"Smelt ores, make glass, and nuke anything you pop in there",placeables/crafting_stations/stone_thermoblaster,3x3x3,general,none,0,,,,,,,,,,,,
crafting_station,2443541317223860,Thermolite,Crafting Station,Crafting Station,place,,placeables/crafting_stations/stone_thermolite,1x2x3,general,roof,0,,,,,,,,,,,,
crafting_station,4537020877769778,Unknown Crafting Station,Crafting Station,,place,,,,,,0,,,,,,,,,,,,
crafting_station,1534621126189262,Wardrobe,Crafting Station,Crafting Station,place,,placeables/crafting_stations/log_workbench,1x1x3,dying,,0,,,,,,,,,,,,
crafting_station,1534621126189448,Workbench,Crafting Station,Crafting Station,place,,,1x1x3,general,,0,,,,,,,,,,,,
related_recipe,2677834618934639,Blueprint: Angler's Table,Recipe,,,Recipe for Blueprint: Angler's Table,,,,,0,,,,,,,1534621126189448,1000,"[[1534621126189715,200],[4537020877769766,4]]","[[8176147131639241,1]]",,
related_recipe,3948531231714016,Blueprint: Thermoblaster,Recipe,,,,,,,,0,,,,,,,1534621126189448,1000,"[[1534621126189715,1000],[4537020877769766,16]]","[[7539420629350102,1]]","[[""kind"",""all""],[""id"",689787044148624],[""triggers"",[[[""kind"",""challengeComplete""],[""id"",715972766103893],[""challenge"",8927952990933267]],[[""kind"",""challengeUnlocked""],[""id"",3315939317105020],[""challenge"",771100601800015]]]]]",
related_recipe,3545408933194717,Blueprint: Thermolite,Recipe,,,,,,,,0,,,,,,,1534621126189448,1000,"[[4537020877769766,8],[1534621126189715,500]]","[[5013876656537945,1]]","[[""kind"",""all""],[""id"",689787044148624],[""triggers"",[]]]",
related_recipe,7539420629350099,Blueprint: Workbench,Recipe,,,,,,,,0,,,,,,,,1000,"[[4537020877769766,4]]","[[7539420629350159,1]]","[[""kind"",""all""],[""id"",5402527898195114],[""triggers"",[[[""kind"",""place""],[""id"",6200503319891471],[""item"",[[""id"",567816707675895],[""payload"",null]]],[""count"",1]],[[""kind"",""everCollect""],[""id"",4856762324807627],[""item"",[[""id"",7539420629350159],[""payload"",null]]],[""count"",1]]]]]",
tool,2511072915985617,B-01 Camera,Cameras,Tool Recipe,,"Take photos of people, places, and things.",,,,,0,,,,,,,,1000,"[[1534621126189715,10]]","[[7539420629350492,1]]","[[""kind"",""any""],[""id"",3840342854169351],[""triggers"",[[[""kind"",""everCollect""],[""id"",5069693590218725],[""item"",[[""id"",7539420629350492],[""payload"",null]]],[""count"",1]],[[""kind"",""inventoryHas""],[""id"",6527824844372649],[""item"",[[""id"",7539420629350492],[""payload"",null]]],[""count"",1]]]]]",
