id,displayName,name,description,objectKind,galoisPath,craftingCategory,tooltipTypeName,action,flags,size.boxSize,size.collidableSize,assetRefs.publicModel,assetRefs.publicIcon,warnings
2443541317223860,Thermolite,Thermolite,,nature_or_resource,placeables/crafting_stations/stone_thermolite,Crafting Station,Crafting Station,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":2,""z"":3}",,/buckets/biomes-static/asset_data/placeables/crafting_stations/stone_thermolite.8386af3a264ec3f73866b7ef231f8e63.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/stone_thermolite.8b0038f346fa60b33d0d6fe75d1ceaae.png,[]
1981156595328572,Wall Note,Wall Note,,wall_or_display_decor,,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,,,[]
1534621126189445,Blueprint: Tailoring Booth,Blueprint: Tailoring Booth,,decor_or_misc,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":4,""y"":1,""z"":3}",,,,[]
4537020877769751,Boombox,Boombox,,decor_or_misc,placeables/boombox,Objects,Speaker,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":2}",,/buckets/biomes-static/asset_data/placeables/boombox.18579ddc0066f50d7a632637a64864c0.gltf,/buckets/biomes-static/asset_data/icons/placeables/boombox.573dd04ad7641cc4271bb72c4d56e550.png,[]
7539420629350114,Shop,Shop,,architecture,placeables/shop/oak_tray,Objects,Shop,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/shop/oak_tray.e76af8d8bed7d48a34206ccef5b7cb00.gltf,/buckets/biomes-static/asset_data/icons/placeables/shop/oak_tray.2b7683b55853d463edd3540db95e00e5.png,[]
8456609995742763,Muck Buster Turbo,Muck Buster Turbo,,decor_or_misc,,Muck Clearing Device,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.875,""y"":0.875,""z"":0.875}",,,,[]
5893854733832257,Deprecated Small Clearing Stone,Deprecated Small Clearing Stone,,nature_or_resource,placeables/runic_stone,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/runic_stone.b293fa6b00b37171a7823eb997cd03e9.gltf,/buckets/biomes-static/asset_data/icons/placeables/runic_stone.8a1fb0e425bbbd6cdcb2bc22f3fbf2fc.png,[]
2976214029638871,Contribution Request Sheet,Contribution Request Sheet,,wall_or_display_decor,,Objects,Wall Decoration,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":0.1,""y"":1,""z"":1}",,,,[]
1961861852831554,Traditional Shelter Frame Blueprint,Traditional Shelter Frame Blueprint,,wall_or_display_decor,items/blueprint,Blueprints,Blueprint,place,"{""isPlaceable"":false,""isBlueprint"":true,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":13,""y"":12,""z"":11}",,,,"[""very large placeable bounds""]"
5351534650175658,Tool Pile,Tool Pile,,tools_or_weapons,placeables/quests/tools,Objects,,place,"{""isPlaceable"":true,""isBlueprint"":false,""isBlock"":false,""isDroppable"":true,""isCollidable"":false}","{""x"":1,""y"":1,""z"":1}",,/buckets/biomes-static/asset_data/placeables/quests/tools.48fcb0dba927177cffb7f509176fda1f.gltf,/buckets/biomes-static/asset_data/icons/placeables/quests/tools.e7622e8bdff7cb1d64ea00390dbee67c.png,[]
