key,galoisPath,rel,format,objectKind,description,size.sourceSize,size.renderedDefaultSize,publicPath,iconPublicPath,linkedBikkieDisplayNames,warnings
arcade_machine,placeables/arcade_machine,arcade_machine,gltf,decor_or_misc,"arcade machine (decor_or_misc); 1.125m x 2.125m x 1m. Dominant colors: blue, green, mixed.","{""x"":1.125,""y"":2.125,""z"":1}","{""x"":1.125,""y"":2.125,""z"":1}",/buckets/biomes-static/asset_data/placeables/arcade_machine.64b4a035df4a23ee940270fafe7f0ef4.gltf,/buckets/biomes-static/asset_data/icons/placeables/arcade_machine.b270deb74273d02be3103a980e7d6806.png,"[""Arcade Machine""]",[]
boombox,placeables/boombox,boombox,gltf,decor_or_misc,"boombox (decor_or_misc); 0.5625m x 0.875m x 1.125m. Dominant colors: mixed, wood/brown, blue.","{""x"":0.5625,""y"":0.875,""z"":1.125}","{""x"":0.5625,""y"":0.875,""z"":1.125}",/buckets/biomes-static/asset_data/placeables/boombox.18579ddc0066f50d7a632637a64864c0.gltf,/buckets/biomes-static/asset_data/icons/placeables/boombox.573dd04ad7641cc4271bb72c4d56e550.png,"[""Boombox""]",[]
boombox_animations,placeables/boombox_animations,boombox_animations,,decor_or_misc,boombox animations (decor_or_misc); size not measured.,,,,,[],"[""missing measured size""]"
camping_campfire,placeables/camping/campfire,camping/campfire,gltf,decor_or_misc,"camping campfire (decor_or_misc); 2m x 0.875m x 2m. Dominant colors: white/light, orange/gold, blue, mixed.","{""x"":2,""y"":0.875,""z"":2}","{""x"":2,""y"":0.875,""z"":2}",/buckets/biomes-static/asset_data/placeables/camping/campfire.84dc2f5e2a52c8338dad63eba9333946.gltf,/buckets/biomes-static/asset_data/icons/placeables/camping/campfire.ea0b0371c1d0e60abee49b1afa79a41b.png,"[""Campfire""]",[]
comms_tower,placeables/comms_tower,comms_tower,gltf,architecture,"comms tower (architecture); 3m x 6m x 3m. Dominant colors: orange/gold, mixed, white/light.","{""x"":3,""y"":6,""z"":3}","{""x"":3,""y"":6,""z"":3}",/buckets/biomes-static/asset_data/placeables/comms_tower.39d243ae2d7c290b34486d0c16913d48.gltf,/buckets/biomes-static/asset_data/icons/placeables/comms_tower.4a45a8d0684e9f6e67da211cb5f047af.png,"[""Network Tower""]",[]
containers_treasure_chest,placeables/containers/treasure_chest,containers/treasure_chest,gltf,storage_or_clutter,"containers treasure chest (storage_or_clutter); 0.875m x 0.9375m x 1m. Dominant colors: orange/gold, mixed.","{""x"":0.875,""y"":0.9375,""z"":1}","{""x"":0.875,""y"":0.9375,""z"":1}",/buckets/biomes-static/asset_data/placeables/containers/treasure_chest.18fe8759e8fd6f6760084e819860c4d4.gltf,/buckets/biomes-static/asset_data/icons/placeables/containers/treasure_chest.a1ec8a8b3119951b80608cb5af051366.png,"[""Gifting Reward"",""Treasure Chest"",""Gift"",""Parcel""]",[]
containers_wood_container,placeables/containers/wood_container,containers/wood_container,gltf,storage_or_clutter,"containers wood container (storage_or_clutter); 1m x 1m x 1m. Dominant colors: orange/gold, red/brown.","{""x"":1,""y"":1,""z"":1}","{""x"":1,""y"":1,""z"":1}",/buckets/biomes-static/asset_data/placeables/containers/wood_container.aedd23f7acd7124fe21c0d92c0c79710.gltf,/buckets/biomes-static/asset_data/icons/placeables/containers/wood_container.cfa9e676208013e12d769f85116194d2.png,"[""Small Chest""]",[]
crafting_stations_log_workbench,placeables/crafting_stations/log_workbench,crafting_stations/log_workbench,gltf,furniture,"crafting stations log workbench (furniture); 1.0625m x 1.3125m x 3.25m. Dominant colors: red/brown, orange/gold, white/light.","{""x"":1.0625,""y"":1.3125,""z"":3.25}","{""x"":1.0625,""y"":1.3125,""z"":3.25}",/buckets/biomes-static/asset_data/placeables/crafting_stations/log_workbench.07563da41a51cb3124eae858f2e56497.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/log_workbench.bf3cc7b20adfeafaf79640f1158a854b.png,"[""Wardrobe""]",[]
crafting_stations_oak_kitchen,placeables/crafting_stations/oak_kitchen,crafting_stations/oak_kitchen,gltf,decor_or_misc,"crafting stations oak kitchen (decor_or_misc); 1.0625m x 1.875m x 4m. Dominant colors: orange/gold, blue, white/light.","{""x"":1.0625,""y"":1.875,""z"":4}","{""x"":1.0625,""y"":1.875,""z"":4}",/buckets/biomes-static/asset_data/placeables/crafting_stations/oak_kitchen.56c6cd0455a1b5e6142a4a084b8e9fc0.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/oak_kitchen.0b81f7e7283acf6c7de87df12bddd67a.png,"[""Kitchen""]",[]
crafting_stations_oak_tailoring_booth,placeables/crafting_stations/oak_tailoring_booth,crafting_stations/oak_tailoring_booth,gltf,decor_or_misc,"crafting stations oak tailoring booth (decor_or_misc); 4m x 2.125m x 3.0625m. Dominant colors: orange/gold, white/light, mixed.","{""x"":4,""y"":2.125,""z"":3.0625}","{""x"":4,""y"":2.125,""z"":3.0625}",/buckets/biomes-static/asset_data/placeables/crafting_stations/oak_tailoring_booth.e8d4f8cdd3ba22725a6a66e3248e52c4.gltf,/buckets/biomes-static/asset_data/icons/placeables/crafting_stations/oak_tailoring_booth.1a53921be33c5a73fab7209a538dc7f3.png,"[""Tailoring Booth""]",[]
