key,format,sourcePath,defaultScale,semanticRole,objectKind,description,size.sourceSize,size.authoredDefaultSize,size.renderedDefaultSize,colors.materialColors,colors.prominentRenderedColors,animations,warnings
stall,gltf,glb/props/market/stall.glb,0.95,stall,service_or_landmark_prop,"stall (service_or_landmark_prop); 0.6175m x 0.3472m x 0.95m. Dominant colors: mixed, white/light, orange/gold.","{""x"":0.65,""y"":0.3655,""z"":1}","{""x"":0.6175,""y"":0.3472,""z"":0.95}","{""x"":0.6175,""y"":0.3472,""z"":0.95}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ffffc0"",""pixels"":9776},{""hex"":""#ffe0a0"",""pixels"":2259},{""hex"":""#ffe0c0"",""pixels"":1703},{""hex"":""#ffffe0"",""pixels"":122},{""hex"":""#ffc0a0"",""pixels"":96},{""hex"":""#ffe0e0"",""pixels"":62}]",[],[]
stall_red,gltf,glb/props/market/stall-red.glb,0.95,stall,service_or_landmark_prop,"stall red (service_or_landmark_prop); 0.95m x 1.1752m x 0.95m. Dominant colors: orange/gold, mixed.","{""x"":1,""y"":1.237,""z"":1}","{""x"":0.95,""y"":1.1752,""z"":0.95}","{""x"":0.95,""y"":1.1751,""z"":0.95}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ffa0c0"",""pixels"":8637},{""hex"":""#ffffc0"",""pixels"":5926},{""hex"":""#ffe0a0"",""pixels"":2322},{""hex"":""#ffe0c0"",""pixels"":1772},{""hex"":""#ffa0a0"",""pixels"":757},{""hex"":""#ff80a0"",""pixels"":554},{""hex"":""#ffc0c0"",""pixels"":267},{""hex"":""#ffc0a0"",""pixels"":169}]",[],[]
stall_green,gltf,glb/props/market/stall-green.glb,0.95,stall,service_or_landmark_prop,stall green (service_or_landmark_prop); 0.95m x 1.1752m x 0.95m. Dominant colors: mixed.,"{""x"":1,""y"":1.237,""z"":1}","{""x"":0.95,""y"":1.1752,""z"":0.95}","{""x"":0.95,""y"":1.1751,""z"":0.95}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#a0ffff"",""pixels"":6723},{""hex"":""#ffffc0"",""pixels"":5858},{""hex"":""#c0ffff"",""pixels"":2488},{""hex"":""#ffe0a0"",""pixels"":2262},{""hex"":""#ffe0c0"",""pixels"":1736},{""hex"":""#80ffe0"",""pixels"":577},{""hex"":""#80ffff"",""pixels"":521},{""hex"":""#ffffe0"",""pixels"":155}]",[],[]
stall_bench,gltf,glb/props/market/stall-bench.glb,0.95,stall,furniture,"stall bench (furniture); 0.247m x 0.2142m x 0.893m. Dominant colors: white/light, mixed, orange/gold.","{""x"":0.26,""y"":0.2255,""z"":0.94}","{""x"":0.247,""y"":0.2142,""z"":0.893}","{""x"":0.247,""y"":0.2142,""z"":0.893}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ffffe0"",""pixels"":3786},{""hex"":""#ffe0a0"",""pixels"":1747},{""hex"":""#ffffc0"",""pixels"":936},{""hex"":""#ffe0c0"",""pixels"":862},{""hex"":""#ffc0a0"",""pixels"":48},{""hex"":""#ffe0e0"",""pixels"":25}]",[],[]
cart,gltf,glb/props/market/cart.glb,0.9,low_cart,service_or_landmark_prop,"cart (service_or_landmark_prop); 0.8037m x 0.482m x 1.206m. Dominant colors: white/light, mixed, orange/gold.","{""x"":0.893,""y"":0.5355,""z"":1.34}","{""x"":0.8037,""y"":0.482,""z"":1.206}","{""x"":0.8037,""y"":0.482,""z"":1.206}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ffffe0"",""pixels"":4146},{""hex"":""#ffe0a0"",""pixels"":2184},{""hex"":""#ffe0c0"",""pixels"":1705},{""hex"":""#ffffff"",""pixels"":1425},{""hex"":""#ffffc0"",""pixels"":1191},{""hex"":""#ffa080"",""pixels"":195},{""hex"":""#ffc0a0"",""pixels"":156},{""hex"":""#e0e0ff"",""pixels"":145}]",[],[]
cart_high,gltf,glb/props/market/cart-high.glb,0.85,low_cart,service_or_landmark_prop,"cart high (service_or_landmark_prop); 0.7591m x 0.7314m x 1.1815m. Dominant colors: white/light, mixed, orange/gold.","{""x"":0.893,""y"":0.8605,""z"":1.39}","{""x"":0.7591,""y"":0.7314,""z"":1.1815}","{""x"":0.7591,""y"":0.7314,""z"":1.1815}","[{""name"":""colormap"",""hex"":""#ffffff""}]","[{""hex"":""#ffffff"",""pixels"":4577},{""hex"":""#ffe0a0"",""pixels"":2307},{""hex"":""#ffffc0"",""pixels"":2296},{""hex"":""#ffe0c0"",""pixels"":1531},{""hex"":""#ffffe0"",""pixels"":1454},{""hex"":""#ffc0a0"",""pixels"":323},{""hex"":""#ffa080"",""pixels"":152},{""hex"":""#ffe0e0"",""pixels"":150}]",[],[]
fountain_round,gltf,glb/props/market/fountain-round.glb,1.1,solid_landmark,service_or_landmark_prop,"fountain round (service_or_landmark_prop); 2.2m x 0.308m x 2.2m. Dominant colors: white/light, blue.","{""x"":2,""y"":0.28,""z"":2}","{""x"":2.2,""y"":0.308,""z"":2.2}","{""x"":2.2,""y"":0.308,""z"":2.2}","[{""name"":""colormap"",""hex"":""#ffffff""},{""name"":""Water"",""hex"":""#79dcff""}]","[{""hex"":""#ffffff"",""pixels"":10027},{""hex"":""#e0ffff"",""pixels"":1693},{""hex"":""#e0e0ff"",""pixels"":1170},{""hex"":""#c0c0e0"",""pixels"":563},{""hex"":""#c0e0ff"",""pixels"":252},{""hex"":""#c0c0ff"",""pixels"":252},{""hex"":""#a0c0e0"",""pixels"":75},{""hex"":""#e0e0e0"",""pixels"":60}]",[],[]
fountain_center,gltf,glb/props/market/fountain-center.glb,1,solid_landmark,service_or_landmark_prop,fountain center (service_or_landmark_prop); 1m x 0.14m x 1m. Dominant colors: white/light.,"{""x"":1,""y"":0.14,""z"":1}","{""x"":1,""y"":0.14,""z"":1}","{""x"":1,""y"":0.14,""z"":1}","[{""name"":""colormap"",""hex"":""#ffffff""},{""name"":""Water"",""hex"":""#79dcff""}]","[{""hex"":""#ffffff"",""pixels"":18815}]",[],[]
fountain_round_detail,gltf,glb/props/market/fountain-round-detail.glb,1,solid_landmark,service_or_landmark_prop,"fountain round detail (service_or_landmark_prop); 2m x 0.48m x 2m. Dominant colors: white/light, blue.","{""x"":2,""y"":0.48,""z"":2}","{""x"":2,""y"":0.48,""z"":2}","{""x"":2,""y"":0.48,""z"":2}","[{""name"":""colormap"",""hex"":""#ffffff""},{""name"":""Water"",""hex"":""#79dcff""}]","[{""hex"":""#ffffff"",""pixels"":10312},{""hex"":""#e0e0ff"",""pixels"":1052},{""hex"":""#e0ffff"",""pixels"":928},{""hex"":""#c0c0e0"",""pixels"":902},{""hex"":""#e0e0e0"",""pixels"":292},{""hex"":""#a0c0e0"",""pixels"":204},{""hex"":""#a0a0c0"",""pixels"":115},{""hex"":""#c0c0ff"",""pixels"":106}]",[],[]
fountain_square_detail,gltf,glb/props/market/fountain-square-detail.glb,1,solid_landmark,service_or_landmark_prop,"fountain square detail (service_or_landmark_prop); 2m x 0.48m x 2m. Dominant colors: white/light, blue.","{""x"":2,""y"":0.48,""z"":2}","{""x"":2,""y"":0.48,""z"":2}","{""x"":2,""y"":0.48,""z"":2}","[{""name"":""colormap"",""hex"":""#ffffff""},{""name"":""Water"",""hex"":""#79dcff""}]","[{""hex"":""#ffffff"",""pixels"":15203},{""hex"":""#c0c0e0"",""pixels"":1759},{""hex"":""#e0ffff"",""pixels"":1041},{""hex"":""#c0c0ff"",""pixels"":591},{""hex"":""#e0e0ff"",""pixels"":477},{""hex"":""#c0e0ff"",""pixels"":233},{""hex"":""#c0e0e0"",""pixels"":87},{""hex"":""#e0e0e0"",""pixels"":78}]",[],[]
