category,file,animation
"animal","harthmere_animal_bear_black.gltf","Idle"
"animal","harthmere_animal_bear_black.gltf","Walk"
"animal","harthmere_animal_bear_black.gltf","Walking"
"animal","harthmere_animal_bear_black.gltf","Run"
"animal","harthmere_animal_bear_black.gltf","Running"
"animal","harthmere_animal_bear_black.gltf","Flee"
"animal","harthmere_animal_bear_black.gltf","Attack"
"animal","harthmere_animal_bear_black.gltf","HeavyAttack"
"animal","harthmere_animal_bear_black.gltf","Bite"
"animal","harthmere_animal_bear_black.gltf","Claw"
"animal","harthmere_animal_bear_black.gltf","Kick"
"animal","harthmere_animal_bear_black.gltf","Charge"
"animal","harthmere_animal_bear_black.gltf","Pounce"
"animal","harthmere_animal_bear_black.gltf","Peck"
"animal","harthmere_animal_bear_black.gltf","Scratch"
"animal","harthmere_animal_bear_black.gltf","TailWhip"
"animal","harthmere_animal_bear_black.gltf","ShieldBlock"
"animal","harthmere_animal_bear_black.gltf","Block"
"animal","harthmere_animal_bear_black.gltf","HitReact"
"animal","harthmere_animal_bear_black.gltf","Death"
"animal","harthmere_animal_bear_black.gltf","Revive"
"animal","harthmere_animal_bear_black.gltf","Sleep"
"animal","harthmere_animal_bear_black.gltf","Sit"
"animal","harthmere_animal_bear_black.gltf","Stand"
"animal","harthmere_animal_bear_black.gltf","Jump"
"animal","harthmere_animal_bear_black.gltf","Fall"
"animal","harthmere_animal_bear_black.gltf","Falling"
"animal","harthmere_animal_bear_black.gltf","Landing"
"animal","harthmere_animal_bear_black.gltf","Dodging"
"animal","harthmere_animal_bear_black.gltf","SidestepLeft"
"animal","harthmere_animal_bear_black.gltf","SidestepRight"
"animal","harthmere_animal_bear_black.gltf","Sidestep"
"animal","harthmere_animal_bear_black.gltf","TurnLeft"
"animal","harthmere_animal_bear_black.gltf","TurnRight"
"animal","harthmere_animal_bear_black.gltf","Graze"
"animal","harthmere_animal_bear_black.gltf","Eat"
"animal","harthmere_animal_bear_black.gltf","Drink"
"animal","harthmere_animal_bear_black.gltf","Sniff"
"animal","harthmere_animal_bear_black.gltf","LookAround"
"animal","harthmere_animal_bear_black.gltf","Roar"
"animal","harthmere_animal_bear_black.gltf","Howl"
"animal","harthmere_animal_bear_black.gltf","Growl"
"animal","harthmere_animal_bear_black.gltf","Bark"
"animal","harthmere_animal_bear_black.gltf","Meow"
"animal","harthmere_animal_bear_black.gltf","Bleat"
"animal","harthmere_animal_bear_black.gltf","Moo"
"animal","harthmere_animal_bear_black.gltf","Neigh"
"animal","harthmere_animal_bear_black.gltf","Chirp"
"animal","harthmere_animal_bear_black.gltf","Spawn"
"animal","harthmere_animal_bear_black.gltf","Despawn"
"animal","harthmere_animal_bear_black.gltf","Stunned"
"animal","harthmere_animal_bear_black.gltf","Swim"
"animal","harthmere_animal_bear_black.gltf","Trot"
"animal","harthmere_animal_bear_black.gltf","Canter"
"animal","harthmere_animal_bear_brown.gltf","Idle"
"animal","harthmere_animal_bear_brown.gltf","Walk"
"animal","harthmere_animal_bear_brown.gltf","Walking"
"animal","harthmere_animal_bear_brown.gltf","Run"
"animal","harthmere_animal_bear_brown.gltf","Running"
"animal","harthmere_animal_bear_brown.gltf","Flee"
"animal","harthmere_animal_bear_brown.gltf","Attack"
"animal","harthmere_animal_bear_brown.gltf","HeavyAttack"
"animal","harthmere_animal_bear_brown.gltf","Bite"
"animal","harthmere_animal_bear_brown.gltf","Claw"
"animal","harthmere_animal_bear_brown.gltf","Kick"
"animal","harthmere_animal_bear_brown.gltf","Charge"
"animal","harthmere_animal_bear_brown.gltf","Pounce"
"animal","harthmere_animal_bear_brown.gltf","Peck"
"animal","harthmere_animal_bear_brown.gltf","Scratch"
"animal","harthmere_animal_bear_brown.gltf","TailWhip"
"animal","harthmere_animal_bear_brown.gltf","ShieldBlock"
"animal","harthmere_animal_bear_brown.gltf","Block"
"animal","harthmere_animal_bear_brown.gltf","HitReact"
"animal","harthmere_animal_bear_brown.gltf","Death"
"animal","harthmere_animal_bear_brown.gltf","Revive"
"animal","harthmere_animal_bear_brown.gltf","Sleep"
"animal","harthmere_animal_bear_brown.gltf","Sit"
"animal","harthmere_animal_bear_brown.gltf","Stand"
"animal","harthmere_animal_bear_brown.gltf","Jump"
"animal","harthmere_animal_bear_brown.gltf","Fall"
"animal","harthmere_animal_bear_brown.gltf","Falling"
"animal","harthmere_animal_bear_brown.gltf","Landing"
"animal","harthmere_animal_bear_brown.gltf","Dodging"
"animal","harthmere_animal_bear_brown.gltf","SidestepLeft"
"animal","harthmere_animal_bear_brown.gltf","SidestepRight"
"animal","harthmere_animal_bear_brown.gltf","Sidestep"
"animal","harthmere_animal_bear_brown.gltf","TurnLeft"
"animal","harthmere_animal_bear_brown.gltf","TurnRight"
"animal","harthmere_animal_bear_brown.gltf","Graze"
"animal","harthmere_animal_bear_brown.gltf","Eat"
"animal","harthmere_animal_bear_brown.gltf","Drink"
"animal","harthmere_animal_bear_brown.gltf","Sniff"
"animal","harthmere_animal_bear_brown.gltf","LookAround"
"animal","harthmere_animal_bear_brown.gltf","Roar"
"animal","harthmere_animal_bear_brown.gltf","Howl"
"animal","harthmere_animal_bear_brown.gltf","Growl"
"animal","harthmere_animal_bear_brown.gltf","Bark"
"animal","harthmere_animal_bear_brown.gltf","Meow"
"animal","harthmere_animal_bear_brown.gltf","Bleat"
"animal","harthmere_animal_bear_brown.gltf","Moo"
"animal","harthmere_animal_bear_brown.gltf","Neigh"
"animal","harthmere_animal_bear_brown.gltf","Chirp"
"animal","harthmere_animal_bear_brown.gltf","Spawn"
"animal","harthmere_animal_bear_brown.gltf","Despawn"
"animal","harthmere_animal_bear_brown.gltf","Stunned"
"animal","harthmere_animal_bear_brown.gltf","Swim"
"animal","harthmere_animal_bear_brown.gltf","Trot"
"animal","harthmere_animal_bear_brown.gltf","Canter"
"animal","harthmere_animal_bear_snow.gltf","Idle"
"animal","harthmere_animal_bear_snow.gltf","Walk"
"animal","harthmere_animal_bear_snow.gltf","Walking"
"animal","harthmere_animal_bear_snow.gltf","Run"
"animal","harthmere_animal_bear_snow.gltf","Running"
"animal","harthmere_animal_bear_snow.gltf","Flee"
"animal","harthmere_animal_bear_snow.gltf","Attack"
"animal","harthmere_animal_bear_snow.gltf","HeavyAttack"
"animal","harthmere_animal_bear_snow.gltf","Bite"
"animal","harthmere_animal_bear_snow.gltf","Claw"
"animal","harthmere_animal_bear_snow.gltf","Kick"
"animal","harthmere_animal_bear_snow.gltf","Charge"
"animal","harthmere_animal_bear_snow.gltf","Pounce"
"animal","harthmere_animal_bear_snow.gltf","Peck"
"animal","harthmere_animal_bear_snow.gltf","Scratch"
"animal","harthmere_animal_bear_snow.gltf","TailWhip"
"animal","harthmere_animal_bear_snow.gltf","ShieldBlock"
"animal","harthmere_animal_bear_snow.gltf","Block"
"animal","harthmere_animal_bear_snow.gltf","HitReact"
"animal","harthmere_animal_bear_snow.gltf","Death"
"animal","harthmere_animal_bear_snow.gltf","Revive"
"animal","harthmere_animal_bear_snow.gltf","Sleep"
"animal","harthmere_animal_bear_snow.gltf","Sit"
"animal","harthmere_animal_bear_snow.gltf","Stand"
"animal","harthmere_animal_bear_snow.gltf","Jump"
"animal","harthmere_animal_bear_snow.gltf","Fall"
"animal","harthmere_animal_bear_snow.gltf","Falling"
"animal","harthmere_animal_bear_snow.gltf","Landing"
"animal","harthmere_animal_bear_snow.gltf","Dodging"
"animal","harthmere_animal_bear_snow.gltf","SidestepLeft"
"animal","harthmere_animal_bear_snow.gltf","SidestepRight"
"animal","harthmere_animal_bear_snow.gltf","Sidestep"
"animal","harthmere_animal_bear_snow.gltf","TurnLeft"
"animal","harthmere_animal_bear_snow.gltf","TurnRight"
"animal","harthmere_animal_bear_snow.gltf","Graze"
"animal","harthmere_animal_bear_snow.gltf","Eat"
"animal","harthmere_animal_bear_snow.gltf","Drink"
"animal","harthmere_animal_bear_snow.gltf","Sniff"
"animal","harthmere_animal_bear_snow.gltf","LookAround"
"animal","harthmere_animal_bear_snow.gltf","Roar"
"animal","harthmere_animal_bear_snow.gltf","Howl"
"animal","harthmere_animal_bear_snow.gltf","Growl"
"animal","harthmere_animal_bear_snow.gltf","Bark"
"animal","harthmere_animal_bear_snow.gltf","Meow"
"animal","harthmere_animal_bear_snow.gltf","Bleat"
"animal","harthmere_animal_bear_snow.gltf","Moo"
"animal","harthmere_animal_bear_snow.gltf","Neigh"
"animal","harthmere_animal_bear_snow.gltf","Chirp"
"animal","harthmere_animal_bear_snow.gltf","Spawn"
"animal","harthmere_animal_bear_snow.gltf","Despawn"
"animal","harthmere_animal_bear_snow.gltf","Stunned"
"animal","harthmere_animal_bear_snow.gltf","Swim"
"animal","harthmere_animal_bear_snow.gltf","Trot"
"animal","harthmere_animal_bear_snow.gltf","Canter"
"animal","harthmere_animal_boar_black.gltf","Idle"
"animal","harthmere_animal_boar_black.gltf","Walk"
"animal","harthmere_animal_boar_black.gltf","Walking"
"animal","harthmere_animal_boar_black.gltf","Run"
"animal","harthmere_animal_boar_black.gltf","Running"
"animal","harthmere_animal_boar_black.gltf","Flee"
"animal","harthmere_animal_boar_black.gltf","Attack"
"animal","harthmere_animal_boar_black.gltf","HeavyAttack"
"animal","harthmere_animal_boar_black.gltf","Bite"
"animal","harthmere_animal_boar_black.gltf","Claw"
"animal","harthmere_animal_boar_black.gltf","Kick"
"animal","harthmere_animal_boar_black.gltf","Charge"
"animal","harthmere_animal_boar_black.gltf","Pounce"
"animal","harthmere_animal_boar_black.gltf","Peck"
"animal","harthmere_animal_boar_black.gltf","Scratch"
"animal","harthmere_animal_boar_black.gltf","TailWhip"
"animal","harthmere_animal_boar_black.gltf","ShieldBlock"
"animal","harthmere_animal_boar_black.gltf","Block"
"animal","harthmere_animal_boar_black.gltf","HitReact"
"animal","harthmere_animal_boar_black.gltf","Death"
"animal","harthmere_animal_boar_black.gltf","Revive"
"animal","harthmere_animal_boar_black.gltf","Sleep"
"animal","harthmere_animal_boar_black.gltf","Sit"
"animal","harthmere_animal_boar_black.gltf","Stand"
"animal","harthmere_animal_boar_black.gltf","Jump"
"animal","harthmere_animal_boar_black.gltf","Fall"
"animal","harthmere_animal_boar_black.gltf","Falling"
"animal","harthmere_animal_boar_black.gltf","Landing"
"animal","harthmere_animal_boar_black.gltf","Dodging"
"animal","harthmere_animal_boar_black.gltf","SidestepLeft"
"animal","harthmere_animal_boar_black.gltf","SidestepRight"
"animal","harthmere_animal_boar_black.gltf","Sidestep"
"animal","harthmere_animal_boar_black.gltf","TurnLeft"
"animal","harthmere_animal_boar_black.gltf","TurnRight"
"animal","harthmere_animal_boar_black.gltf","Graze"
"animal","harthmere_animal_boar_black.gltf","Eat"
"animal","harthmere_animal_boar_black.gltf","Drink"
"animal","harthmere_animal_boar_black.gltf","Sniff"
"animal","harthmere_animal_boar_black.gltf","LookAround"
"animal","harthmere_animal_boar_black.gltf","Roar"
"animal","harthmere_animal_boar_black.gltf","Howl"
"animal","harthmere_animal_boar_black.gltf","Growl"
"animal","harthmere_animal_boar_black.gltf","Bark"
"animal","harthmere_animal_boar_black.gltf","Meow"
"animal","harthmere_animal_boar_black.gltf","Bleat"
"animal","harthmere_animal_boar_black.gltf","Moo"
"animal","harthmere_animal_boar_black.gltf","Neigh"
"animal","harthmere_animal_boar_black.gltf","Chirp"
"animal","harthmere_animal_boar_black.gltf","Spawn"
"animal","harthmere_animal_boar_black.gltf","Despawn"
