bucket,category,type,size_bytes,path
_source,_source,,6148,_source/.DS_Store
_source,_source/free_sample,,6148,_source/free_sample/.DS_Store
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-0-Crate-0.mtl,mtl,169,_source/free_sample/Free Sample/Medieval Town - Free Sample-0-Crate-0.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-0-Crate-0.obj,obj,108492,_source/free_sample/Free Sample/Medieval Town - Free Sample-0-Crate-0.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-0-Crate-0.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-0-Crate-0.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-1-Crate-1.mtl,mtl,169,_source/free_sample/Free Sample/Medieval Town - Free Sample-1-Crate-1.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-1-Crate-1.obj,obj,109836,_source/free_sample/Free Sample/Medieval Town - Free Sample-1-Crate-1.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-1-Crate-1.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-1-Crate-1.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-2-House.mtl,mtl,167,_source/free_sample/Free Sample/Medieval Town - Free Sample-2-House.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-2-House.obj,obj,1924043,_source/free_sample/Free Sample/Medieval Town - Free Sample-2-House.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-2-House.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-2-House.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-3-Trolley.mtl,mtl,169,_source/free_sample/Free Sample/Medieval Town - Free Sample-3-Trolley.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-3-Trolley.obj,obj,245256,_source/free_sample/Free Sample/Medieval Town - Free Sample-3-Trolley.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-3-Trolley.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-3-Trolley.png
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-4-Rock.mtl,mtl,166,_source/free_sample/Free Sample/Medieval Town - Free Sample-4-Rock.mtl
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-4-Rock.obj,obj,51392,_source/free_sample/Free Sample/Medieval Town - Free Sample-4-Rock.obj
_source,_source/free_sample/Free Sample/Medieval Town - Free Sample-4-Rock.png,png,806,_source/free_sample/Free Sample/Medieval Town - Free Sample-4-Rock.png
